,Type,Date,Num,Source Name,Name Address,Name Street1,Name Street2,Name City,Name State,Name Zip,Name Contact,Name Phone #,Name Fax #,Name E-Mail,Memo,Name,Terms,total Quantity,Item,Class,Qty,Sales Price,Amount,Balance,State,Ship To Address 1,Ship To Address 2,Ship To State,Ship Zip,Notes,Last Name,First Name
Deborah Reynolds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,06/19/2018,92545,Deborah Reynolds,"37861 Lane Isle, Travishaven, MO 66852",37861 Lane Isle,,Travishaven,MO,66852,,+1-348-327-1487,,mark70@rivera.com,Generated Invoice,Deborah Reynolds,Credit Card,,Local,General,4,48.37,193.48,193.48,Latest,,,,,,Reynolds,Deborah
,Invoice,08/22/2016,69262,Deborah Reynolds,"37861 Lane Isle, Travishaven, MO 66852",37861 Lane Isle,,Travishaven,MO,66852,,+1-348-327-1487,,mark70@rivera.com,Generated Invoice,Deborah Reynolds,Credit Card,,Red,General,1,32.53,32.53,32.53,Latest,,,,,,Reynolds,Deborah
,Invoice,01/13/2018,74226,Deborah Reynolds,"37861 Lane Isle, Travishaven, MO 66852",37861 Lane Isle,,Travishaven,MO,66852,,+1-348-327-1487,,mark70@rivera.com,Generated Invoice,Deborah Reynolds,Credit Card,,Left,General,2,41.13,82.26,82.26,Latest,,,,,,Reynolds,Deborah
Total Deborah Reynolds,,,,,,,,,,,,,,,,,,,3,,308.27,308.27,,,,,,,,,,
Linda Tate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,06/22/2024,66391,Linda Tate,"53058 Watkins Club, Salazarport, MD 11700",53058 Watkins Club,,Salazarport,MD,11700,,203-867-9852,,andersonkatherine@oneal.com,Generated Invoice,Linda Tate,Credit Card,,Pm,General,3,12.05,36.15,36.15,Latest,,,,,,Tate,Linda
,Invoice,02/04/2023,94849,Linda Tate,"53058 Watkins Club, Salazarport, MD 11700",53058 Watkins Club,,Salazarport,MD,11700,,203-867-9852,,andersonkatherine@oneal.com,Generated Invoice,Linda Tate,Credit Card,,Deep,General,2,27.24,54.48,54.48,Latest,,,,,,Tate,Linda
,Invoice,10/16/2017,59281,Linda Tate,"53058 Watkins Club, Salazarport, MD 11700",53058 Watkins Club,,Salazarport,MD,11700,,203-867-9852,,andersonkatherine@oneal.com,Generated Invoice,Linda Tate,Credit Card,,Ok,General,4,23.81,95.24,95.24,Latest,,,,,,Tate,Linda
Total Linda Tate,,,,,,,,,,,,,,,,,,,3,,185.87,185.87,,,,,,,,,,
Alexander Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,10/10/2015,61542,Alexander Evans,"525 Samuel Canyon, Davidchester, MT 82391",525 Samuel Canyon,,Davidchester,MT,82391,,001-779-592-2299,,canturobert@erickson.com,Generated Invoice,Alexander Evans,Credit Card,,Class,General,5,28.63,143.15,143.15,Latest,,,,,,Evans,Alexander
,Invoice,11/14/2015,56309,Alexander Evans,"525 Samuel Canyon, Davidchester, MT 82391",525 Samuel Canyon,,Davidchester,MT,82391,,001-779-592-2299,,canturobert@erickson.com,Generated Invoice,Alexander Evans,Credit Card,,Wind,General,5,7.24,36.2,36.2,Latest,,,,,,Evans,Alexander
,Invoice,06/18/2021,20915,Alexander Evans,"525 Samuel Canyon, Davidchester, MT 82391",525 Samuel Canyon,,Davidchester,MT,82391,,001-779-592-2299,,canturobert@erickson.com,Generated Invoice,Alexander Evans,Credit Card,,Others,General,1,49.02,49.02,49.02,Latest,,,,,,Evans,Alexander
Total Alexander Evans,,,,,,,,,,,,,,,,,,,3,,228.37000000000003,228.37000000000003,,,,,,,,,,
Scott Chapman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,09/21/2019,50802,Scott Chapman,"8998 Teresa Ferry Suite 899, East Jamesville, OH 89159",8998 Teresa Ferry Suite 899,,East Jamesville,OH,89159,,(456)636-0216x591,,shane47@davis.org,Generated Invoice,Scott Chapman,Credit Card,,Reflect,General,3,24.51,73.53,73.53,Latest,,,,,,Chapman,Scott
,Invoice,01/11/2019,69372,Scott Chapman,"8998 Teresa Ferry Suite 899, East Jamesville, OH 89159",8998 Teresa Ferry Suite 899,,East Jamesville,OH,89159,,(456)636-0216x591,,shane47@davis.org,Generated Invoice,Scott Chapman,Credit Card,,Institution,General,4,10.18,40.72,40.72,Latest,,,,,,Chapman,Scott
,Invoice,04/06/2024,89914,Scott Chapman,"8998 Teresa Ferry Suite 899, East Jamesville, OH 89159",8998 Teresa Ferry Suite 899,,East Jamesville,OH,89159,,(456)636-0216x591,,shane47@davis.org,Generated Invoice,Scott Chapman,Credit Card,,Raise,General,4,11.64,46.56,46.56,Latest,,,,,,Chapman,Scott
Total Scott Chapman,,,,,,,,,,,,,,,,,,,3,,160.81,160.81,,,,,,,,,,
David Knox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,09/08/2023,90225,David Knox,"5145 Pollard Loaf Apt. 551, Elizabethport, KY 25536",5145 Pollard Loaf Apt. 551,,Elizabethport,KY,25536,,+1-914-615-8924x14501,,kellypaul@butler-jennings.biz,Generated Invoice,David Knox,Credit Card,,Herself,General,2,9.35,18.7,18.7,Latest,,,,,,Knox,David
,Invoice,03/23/2021,10362,David Knox,"5145 Pollard Loaf Apt. 551, Elizabethport, KY 25536",5145 Pollard Loaf Apt. 551,,Elizabethport,KY,25536,,+1-914-615-8924x14501,,kellypaul@butler-jennings.biz,Generated Invoice,David Knox,Credit Card,,Decide,General,3,44.14,132.42,132.42,Latest,,,,,,Knox,David
